State,Poll,Source,Start Date,End Date,Sample Size,Sample Type,MoE,Biden,Trump
California,CNN,https://cdn.cnn.com/cnn/2019/images/12/11/rel1_ca.pdf,2020-12-04 00:00:00,2020-12-08 00:00:00,1011,RV,3.7,56.0,36.0
California,KGTV-TV/SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=0f19d585-788e-4f86-81d0-d09a5e046780,2020-11-20 00:00:00,2020-11-22 00:00:00,2039,RV,2.4,59.0,32.0
California,KGTV-TV/SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=47bb5b60-e30b-43c0-8164-b83b56a9f2ed,2020-10-15 00:00:00,2020-10-16 00:00:00,1242,RV,3.8,59.0,32.0
California,Emerson,https://emersonpolling.reportablenews.com/pr/california-2020-biden-sanders-warren-in-statistical-tie-in-democratic-primary-harris-struggles-in-home-state,2020-09-13 00:00:00,2020-09-16 00:00:00,830,RV,3.3,64.0,36.0
California,KGTV-TV/SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=a5e19558-aca6-4cef-a5cb-33a58889d33c,2020-09-13 00:00:00,2020-09-16 00:00:00,1785,RV,3.2,57.0,31.0
California,KGTV-TV/SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=e3191035-e21e-46b7-916a-21fda59627fd,2020-08-01 00:00:00,2020-08-05 00:00:00,2184,RV,2.7,61.0,27.0
California,KABC/SurveyUSA,http://www.surveyusa.com/client/PollReport.aspx?g=82a67cd3-29dd-4a95-80fc-7c088ca84217,2020-03-22 00:00:00,2020-03-25 00:00:00,882,RV,3.2,56.0,33.0
Texas,UMass Lowell,https://www.uml.edu/docs/2020-Texas-Sept-Topline_tcm18-330588.pdf,2020-09-18 00:00:00,2020-09-25 00:00:00,882,LV,4.3,46.0,50.0
Texas,Quinnipiac,https://poll.qu.edu/images/polling/oh/oh09242020_bgfx53.pdf,2020-09-17 00:00:00,2020-09-21 00:00:00,1078,LV,3.0,45.0,50.0
Texas,NY Times/Siena*,https://int.nyt.com/data/documenttools/ga-ia-tx-crosstabs/ca61e64eaef883ac/full.pdf,2020-09-16 00:00:00,2020-09-21 00:00:00,653,LV,4.3,43.0,46.0
Texas,CBS News/YouGov,https://drive.google.com/file/d/12KO6RXYt9519HgwvDB9SRlS5tqZ9OG8S/view,2020-09-15 00:00:00,2020-09-18 00:00:00,1205,LV,,46.0,48.0
Texas,Dallas Morning News*,https://www.scribd.com/document/474962250/DMN-UTTyler-2020-Poll-Codebook-2,2020-08-28 00:00:00,2020-09-02 00:00:00,901,LV,3.3,46.0,48.0
Texas,Rice Univ./YouGov*,https://www.txhpf.org/wp-content/uploads/2020/08/THPFFinalAug17.pdf,2020-08-04 00:00:00,2020-08-13 00:00:00,846,RV,,41.0,48.0
Texas,Trafalgar Group (R)*,https://www.thetrafalgargroup.org/news/tx-pres-0820/,2020-08-01 00:00:00,2020-08-05 00:00:00,1015,LV,3.0,43.0,49.0
Texas,Quinnipiac,https://poll.qu.edu/images/polling/tx/tx07222020_tfmd13.pdf,2020-07-16 00:00:00,2020-07-20 00:00:00,880,RV,3.3,45.0,44.0
Texas,CBS News/YouGov,https://drive.google.com/file/d/18HFC79lmRr1KVcbrUysfJd6XpLZxZxaP/view,2020-07-07 00:00:00,2020-07-10 00:00:00,1212,RV,3.3,45.0,46.0
Texas,OAN/Gravis,https://www.oann.com/president-trump-carries-momentum-in-new-oan-gravis-marketing-poll-for-texas-georgia/,2020-07-07 00:00:00,2020-07-07 00:00:00,591,LV,4.3,44.0,46.0
Texas,Dallas Morning News,https://www.realclearpolitics.com/docs/2020/Dallas_Morning_News_July_12_2020.pdf,2020-06-29 00:00:00,2020-07-07 00:00:00,1677,LV,2.4,48.0,43.0
Texas,University of Texas,https://texaspolitics.utexas.edu/blog/pre-4th-july-preview-new-uttexas-politics-project-poll,2020-06-19 00:00:00,2020-06-29 00:00:00,1200,RV,2.8,44.0,48.0
Texas,FOX News,https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Fox_June-20-23-2020_Complete_Texas_Topline_June-25-Release.pdf,2020-06-20 00:00:00,2020-06-23 00:00:00,1001,RV,3.0,45.0,44.0
Texas,Quinnipiac,https://poll.qu.edu/texas/release-detail?ReleaseID=3662,2020-05-28 00:00:00,2020-06-01 00:00:00,1166,RV,2.9,43.0,44.0
Texas,Emerson,https://emersonpolling.reportablenews.com/pr/ohio-texas-and-california-2020-trump-with-narrow-leads-in-ohio-and-texas-but-has-widespread-expectation-of-being-re-elected,2020-05-08 00:00:00,2020-05-10 00:00:00,800,RV,3.4,41.0,47.0
Texas,PPP (D),https://www.realclearpolitics.com/docs/2020/PPP_Texas_April_2020.pdf,2020-04-27 00:00:00,2020-04-28 00:00:00,1032,RV,,47.0,46.0
Texas,Dallas Morning News,https://www.dallasnews.com/news/public-health/2020/05/02/texans-wary-of-flying-because-of-coronavirus-cautious-about-in-person-shopping-dallas-news-ut-tyler-poll-shows/,2020-04-18 00:00:00,2020-04-27 00:00:00,1183,RV,2.9,43.0,43.0
Texas,UT/Texas Tribune,https://www.texastribune.org/2020/04/25/trump-biden-texas-coronavirus-poll/,2020-04-10 00:00:00,2020-04-19 00:00:00,1200,RV,2.8,44.0,49.0
Texas,NBC News/Marist,http://maristpoll.marist.edu/wp-content/uploads/2020/02/NBC-News_Marist-Poll-TX-NOS-and-Tables_2002281546.pdf,2020-02-23 00:00:00,2020-02-27 00:00:00,2409,RV,2.5,45.0,49.0
Texas,CNN,https://cdn.cnn.com/cnn/2020/images/02/28/rel1_tx.pdf,2020-02-22 00:00:00,2020-02-26 00:00:00,1003,RV,3.0,48.0,47.0
Texas,Dallas Morning News,https://www.scribd.com/document/449521374/DMN-UTTyler-Poll-February-2020-Registered-voters,2020-02-17 00:00:00,2020-02-26 00:00:00,1221,RV,2.8,44.0,45.0
Texas,UT/Texas Tribune,https://www.texastribune.org/2020/02/14/bernie-sanders-leading-texas-ahead-super-tuesday-uttt-poll-says/,2020-01-31 00:00:00,2020-02-09 00:00:00,1200,RV,2.8,43.0,47.0
Texas,Dallas Morning News,https://www.uttyler.edu/politicalscience/files/texas-survey-likely-voters-2020.pdf,2020-01-21 00:00:00,2020-01-30 00:00:00,915,LV,3.2,44.0,46.0
Texas,Texas Lyceum,https://www.texaslyceum.org/assets/docs/Poll/2020/2020%20Lyceum%20Day%201%20Executive%20Summary.pdf,2020-01-10 00:00:00,2020-01-19 00:00:00,520,LV,4.3,46.0,51.0
Texas,CNN,https://cdn.cnn.com/cnn/2019/images/12/11/rel1_tx.pdf,2020-12-04 00:00:00,2020-12-08 00:00:00,1003,RV,3.7,47.0,48.0
Texas,UT/Texas Tribune,https://www.texastribune.org/2019/11/04/democrats-dont-have-candidate-who-would-beat-trump-texas-today-poll/,2020-10-18 00:00:00,2020-10-27 00:00:00,1200,LV,2.8,39.0,46.0
Texas,DMN/Emerson,https://www.dallasnews.com/news/elections-2020/2019/08/06/new-poll-biden-leads-orourke-texas-presidential-primary-race-sen-john-cornyn-wide-open,2020-08-01 00:00:00,2020-08-03 00:00:00,1033,RV,3.0,51.0,49.0
Texas,Quinnipiac,https://poll.qu.edu/texas/release-detail?ReleaseID=2625,2020-05-29 00:00:00,2020-06-04 00:00:00,1159,RV,3.4,48.0,44.0
Texas,Emerson,https://emersonpolling.reportablenews.com/pr/2020-texas-biden-and-beto-in-dead-heat-in-democratic-primary,2020-04-25 00:00:00,2020-04-28 00:00:00,799,RV,3.4,50.0,49.0
Texas,Quinnipiac,https://poll.qu.edu/texas/release-detail?ReleaseID=2602,2020-02-20 00:00:00,2020-02-25 00:00:00,1222,RV,3.4,46.0,47.0
Montana,Emerson,https://emersonpolling.reportablenews.com/pr/montana-2020-republicans-hold-advantages-in-presidential-us-senate-and-governor-races,2020-10-05 00:00:00,2020-10-07 00:00:00,500,LV,4.3,43.0,56.0
Montana,NY Times/Siena*,https://int.nyt.com/data/documenttools/mt-crosstabs/4da3e297acefb561/full.pdf,2020-09-14 00:00:00,2020-09-16 00:00:00,625,LV,4.8,42.0,49.0
Montana,Emerson,https://emersonpolling.reportablenews.com/pr/montana-2020-trump-holds-strong-as-biden-coalesces-support,2020-07-31 00:00:00,2020-08-02 00:00:00,584,LV,4.0,42.0,53.0
Montana,PPP (D),https://www.publicpolicypolling.com/wp-content/uploads/2020/07/MontanaPoll071220.pdf,2020-07-09 00:00:00,2020-07-10 00:00:00,1224,RV,2.8,42.0,51.0
Delaware,University of Delaware*,https://www.udel.edu/udaily/2020/october/poll--democrats-lead-by-big-margins-in-delaware/,2020-09-21 00:00:00,2020-09-27 00:00:00,847,LV,4.0,54.0,33.0
Delaware,PPP (D),https://www.publicpolicypolling.com/wp-content/uploads/2020/08/DelawareAugust2020Results.pdf,2020-08-21 00:00:00,2020-08-22 00:00:00,710,RV,3.7,58.0,37.0
Delaware,Gonzales Research,https://www.realclearpolitics.com/docs/2020/Gonzales_Poll_-_Delaware_January_2020.pdf,2020-01-16 00:00:00,2020-01-19 00:00:00,410,RV,5.0,56.0,40.0
Nevada,NY Times/Siena*,https://int.nyt.com/data/documenttools/oh-nv-crosstabs/d91c22da8b8953eb/full.pdf,2020-10-02 00:00:00,2020-10-06 00:00:00,660,LV,4.3,48.0,42.0
Nevada,Rasmussen Reports,https://amgreatness.com/2020/09/26/trump-surging-with-hispanic-and-black-voters-in-critical-states/,2020-09-23 00:00:00,2020-09-25 00:00:00,750,LV,,49.0,48.0
Nevada,FOX News,https://static.foxnews.com/foxnews.com/content/uploads/2020/09/Fox_September-20-23-2020_Complete_Nevada_Topline_September-24-Release.pdf,2020-09-20 00:00:00,2020-09-23 00:00:00,911,LV,3.0,52.0,41.0
Nevada,NY Times/Siena*,https://int.nyt.com/data/documenttools/crosstabs-MN-NH-NV-WI.pdf/80f8e4634fe6f880/full.pdf,2020-09-08 00:00:00,2020-09-10 00:00:00,462,LV,5.3,46.0,42.0
Nevada,FOX News,https://www.foxnews.com/politics/fox-news-poll-biden-and-sanders-vie-for-lead-in-nevada-biden-tops-trump,2020-01-05 00:00:00,2020-01-08 00:00:00,1505,RV,2.5,47.0,39.0
Nevada,FOX News,https://www.foxnews.com/politics/fox-news-poll-biden-has-edge-over-dems-in-nevada-bests-trump-by-7-points,2020-11-10 00:00:00,2020-11-13 00:00:00,1506,RV,2.5,47.0,40.0
Nevada,Emerson,https://emersonpolling.reportablenews.com/pr/nevada-2020-biden-extends-lead-warren-jumps-to-second,2020-10-31 00:00:00,2020-11-02 00:00:00,1089,RV,2.9,49.0,51.0
Nevada,Gravis,http://orlando-politics.com/wp-content/uploads/2019/08/Nevada-General-and-Democratic-Caucus-August-16-2019.pdf,2020-08-14 00:00:00,2020-08-16 00:00:00,926,RV,3.2,49.0,43.0
Nevada,Emerson,http://emersonpolling.com/2019/03/31/nevada-2020-biden-and-sanders-lead-democratic-primary-field-trump-looks-to-flip-the-silver-state-red/,2020-03-28 00:00:00,2020-03-30 00:00:00,719,RV,3.6,52.0,48.0
Iowa,Quinnipiac,https://poll.qu.edu/florida/release-detail?ReleaseID=3678,2020-10-01 00:00:00,2020-10-05 00:00:00,1256,LV,2.8,50.0,45.0
Iowa,WHO-TV 13,https://who13.com/news/joe-biden-leads-president-trump-by-two-points-in-nexstar-iowa-2020-raba-research-poll/,2020-09-23 00:00:00,2020-09-26 00:00:00,780,LV,4.0,48.0,46.0
Iowa,Monmouth*,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_IA_092420/,2020-09-18 00:00:00,2020-09-22 00:00:00,402,LV,4.9,46.0,49.0
Iowa,NY Times/Siena*,https://int.nyt.com/data/documenttools/ga-ia-tx-crosstabs/ca61e64eaef883ac/full.pdf,2020-09-16 00:00:00,2020-09-21 00:00:00,501,LV,5.0,45.0,42.0
Iowa,Des Moines Register,https://www.desmoinesregister.com/story/news/politics/iowa-poll/2020/09/22/iowa-poll-donald-trump-joe-biden-tied-iowa-presidential-race-2020/5839311002/,2020-09-14 00:00:00,2020-09-17 00:00:00,658,LV,3.8,47.0,47.0
Iowa,Monmouth*,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_IA_080520,2020-07-30 00:00:00,2020-08-03 00:00:00,401,LV,4.9,46.0,48.0
Iowa,Des Moines Register,https://www.desmoinesregister.com/story/news/politics/iowa-poll/2020/06/15/iowa-poll-donald-trump-leads-joe-biden-1-point/3178743001/,2020-06-07 00:00:00,2020-06-10 00:00:00,674,LV,3.8,43.0,44.0
Iowa,PPP (D),https://www.publicpolicypolling.com/wp-content/uploads/2020/05/IowaResultsMay2020.pdf,2020-04-30 00:00:00,2020-05-01 00:00:00,1222,RV,2.8,46.0,48.0
Iowa,Des Moines Register,https://www.desmoinesregister.com/story/news/politics/2020/03/11/trump-approval-favorable-ratings-break-even-iowa-poll/5000775002/,2020-03-02 00:00:00,2020-03-05 00:00:00,667,LV,3.8,41.0,51.0
Iowa,NY Times/Siena,https://www.nytimes.com/2020/01/25/us/politics/democratic-iowa-poll-sanders.html,2020-01-20 00:00:00,2020-01-23 00:00:00,1689,RV,2.8,44.0,46.0
Iowa,PPP (D),https://www.publicpolicypolling.com/wp-content/uploads/2020/01/IowaJanuary2020.pdf,2020-12-29 00:00:00,2020-12-31 00:00:00,964,RV,3.2,46.0,49.0
Iowa,Emerson,https://emersonpolling.reportablenews.com/pr/iowa-2020-warren-s-support-drops-while-sanders-rises,2020-12-07 00:00:00,2020-12-10 00:00:00,1043,RV,3.0,45.0,49.0
Iowa,NY Times/Siena,https://github.com/ndcohn/battleground-poll-2019/blob/master/IA110419%20Crosstabs.pdf,2020-10-25 00:00:00,2020-10-30 00:00:00,1435,RV,3.1,44.0,45.0
Iowa,Emerson,https://emersonpolling.reportablenews.com/pr/iowa-2020-dead-heat-with-biden-and-warren-mayor-pete-continues-to-build-and-sanders-slides,2020-10-13 00:00:00,2020-10-16 00:00:00,888,RV,3.2,49.0,51.0
Iowa,Emerson,https://emersonpolling.reportablenews.com/pr/iowa-2020-biden-and-sanders-neck-and-neck-in-democratic-field-mayor-pete-jumps-to-double-digits,2020-03-21 00:00:00,2020-03-24 00:00:00,708,RV,3.6,53.0,47.0
Iowa,Emerson,https://www.emerson.edu/news-events/emerson-college-today-unpublished/iowa-poll-one-year-out-caucus-biden-leads-democratic-field-third-party-candidacy-helps-trump#.XFYQ31xKhhE,2020-01-30 00:00:00,2020-02-02 00:00:00,831,RV,3.4,51.0,49.0
South Carolina,Quinnipiac,https://poll.qu.edu/images/polling/sc/sc09302020_skyg73.pdf,2020-09-23 00:00:00,2020-09-27 00:00:00,1123,LV,2.9,47.0,48.0
South Carolina,CBS News/YouGov,https://drive.google.com/file/d/122Kxor66z4VwLsTqtckpgfBG-hCxZXwS/view,2020-09-22 00:00:00,2020-09-25 00:00:00,1065,LV,3.8,42.0,52.0
South Carolina,Quinnipiac,https://poll.qu.edu/kentucky/release-detail?ReleaseID=3673,2020-09-10 00:00:00,2020-09-14 00:00:00,969,LV,3.2,45.0,51.0
South Carolina,Quinnipiac,https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3670,2020-07-30 00:00:00,2020-08-03 00:00:00,914,RV,3.3,42.0,47.0
South Carolina,Gravis,https://www.gravismarketing.com/south-carolina-poll-results-gravis-marketing-2020/,2020-07-17 00:00:00,2020-07-17 00:00:00,604,LV,4.0,46.0,50.0
South Carolina,East Carolina U.,https://surveyresearch-ecu.reportablenews.com/pr/south-carolina-poll-biden-leads-presidential-primary-among-likely-democratic-voters-but-many-open-to-changing-their-mind-before-election-day-trump-and-graham-lead-comfortably-in-general-election-matchups,2020-01-31 00:00:00,2020-02-02 00:00:00,1756,RV,2.7,40.0,52.0
South Carolina,Emerson,https://emersonpolling.reportablenews.com/pr/south-carolina-2020-poll-biden-leads-primary-field-by-wide-margin-president-trump-popular-with-base,2020-02-28 00:00:00,2020-03-02 00:00:00,755,RV,3.5,48.0,52.0
New Mexico,PPP (D),https://nmpoliticalreport.com/2020/10/06/biden-with-leads-trump-by-14-points-in-nm/,2020-09-30 00:00:00,2020-10-01 00:00:00,886,LV,3.3,53.0,39.0
New Mexico,Albuquerque Journal,https://www.abqjournal.com/1493758/biden-holds-sizable-lead-over-trump-in-nm-journal-poll-finds.html,2020-08-26 00:00:00,2020-09-02 00:00:00,1123,LV,2.9,54.0,39.0
New Mexico,PPP (D),https://www.realclearpolitics.com/docs/2020/PPP_New_Mexico_June_2020.pdf,2020-06-12 00:00:00,2020-06-13 00:00:00,740,RV,3.6,53.0,39.0
New Mexico,Emerson,https://emersonpolling.reportablenews.com/pr/newmexicopoll,2020-01-03 00:00:00,2020-01-06 00:00:00,967,RV,3.1,54.0,46.0
Pennsylvania,Emerson,https://emersonpolling.reportablenews.com/pr/pennsylvania-2020-biden-holds-edge-in-home-state-trump-closing-gap,2020-10-04 00:00:00,2020-10-05 00:00:00,688,LV,3.7,50.0,45.0
Pennsylvania,CNBC/Change Research (D),https://www.cnbc.com/2020/10/06/2020-election-polls-biden-leads-trump-after-debate-coronavirus-diagnosis.html,2020-10-02 00:00:00,2020-10-04 00:00:00,,LV,,50.0,46.0
Pennsylvania,Quinnipiac,https://poll.qu.edu/florida/release-detail?ReleaseID=3678,2020-10-01 00:00:00,2020-10-05 00:00:00,1211,LV,2.8,54.0,41.0
Pennsylvania,Reuters/Ipsos,https://www.reuters.com/article/us-usa-election-battlegrounds-poll/reuters-ipsos-poll-shows-biden-leading-in-pennsylvania-wisconsin-idUSKBN26Q2ZT,2020-09-29 00:00:00,2020-10-05 00:00:00,605,LV,5.0,50.0,45.0
Pennsylvania,Monmouth*,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_PA_100620/,2020-09-30 00:00:00,2020-10-04 00:00:00,500,LV,4.4,54.0,43.0
Pennsylvania,CBS News/YouGov,https://drive.google.com/file/d/1hSdIHlv2MgUGngDTUCG4UK2D_11Asbfk/view,2020-09-30 00:00:00,2020-10-02 00:00:00,1187,LV,3.2,51.0,44.0
Pennsylvania,NY Times/Siena*,https://int.nyt.com/data/documenttools/flpa-0930-crosstabs/16c21b7ab34ed4d1/full.pdf,2020-09-30 00:00:00,2020-10-02 00:00:00,706,LV,4.1,49.0,42.0
Pennsylvania,NY Times/Siena,https://www.nytimes.com/2020/09/28/us/politics/supreme-court-pennsylvania-poll.html,2020-09-25 00:00:00,2020-09-27 00:00:00,711,LV,4.3,49.0,40.0
Pennsylvania,TIPP,https://www.scribd.com/document/477721916/The-Federalist-TIPP-Pennsylvania-Poll-Sept-24-26-2020,2020-09-24 00:00:00,2020-09-26 00:00:00,774,LV,3.6,50.0,45.0
Pennsylvania,ABC News/Wash Post,https://www.langerresearch.com/wp-content/uploads/1216a32020StateBattlegrounds-PA.pdf,2020-09-21 00:00:00,2020-09-26 00:00:00,567,LV,4.5,54.0,45.0
Pennsylvania,FOX News,https://static.foxnews.com/foxnews.com/content/uploads/2020/09/Fox_September-20-23-2020_Complete_Pennsylvania_Topline_September-24-Rel....pdf,2020-09-20 00:00:00,2020-09-23 00:00:00,856,LV,3.0,51.0,44.0
Pennsylvania,CNBC/Change Research (D),https://changeresearch.com/post/states-of-play-battleground-wave-14/,2020-09-18 00:00:00,2020-09-20 00:00:00,579,LV,,49.0,45.0
Pennsylvania,Trafalgar Group (R)*,https://drive.google.com/file/d/10w6DzQtjbRcFFqpnsGIwmRstjY7fDa5e/view,2020-09-15 00:00:00,2020-09-17 00:00:00,1006,LV,3.0,47.0,45.0
Pennsylvania,Univ. of Wis/YouGov,https://madison.com/news/local/govt-and-politics/new-poll-finds-big-gulf-on-top-issues-between-biden-trump-voters-in-battleground-states/article_e6b561d5-c142-535e-8354-139805638fb6.html,2020-09-10 00:00:00,2020-09-21 00:00:00,642,LV,,49.0,45.0
Pennsylvania,Franklin & Marshall,https://www.citizensvoice.com/news/election/new-f-m-poll-shows-biden-up-6-points-in-pennsylvania/article_8e3ef5b5-ecd4-597b-9f86-9af2928c3dc4.html,2020-09-14 00:00:00,2020-09-20 00:00:00,480,LV,7.8,48.0,42.0
Pennsylvania,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/topline_reuters_pennsylvania_state_poll_w1_09_21_2020.pdf,2020-09-11 00:00:00,2020-09-16 00:00:00,611,LV,4.5,49.0,46.0
Pennsylvania,CNBC/Change Research (D),https://www.cnbc.com/2020/09/09/2020-election-polls-trump-leads-biden-in-az-fl-mi-nc-pa-and-wi.html,2020-09-04 00:00:00,2020-09-06 00:00:00,,LV,,50.0,46.0
Pennsylvania,NBC News/Marist,http://maristpoll.marist.edu/wp-content/uploads/2020/09/NBC-News_Marist-Poll_PA-Likely-Voters_NOS-and-Tables_202009081145.pdf,2020-08-31 00:00:00,2020-09-07 00:00:00,771,LV,4.4,53.0,44.0
Pennsylvania,Susquehanna,https://susquehannapolling.com/wp-content/uploads/2020/09/Toplines-PAStatewide-FallOmnibus-Sept2020.pdf,2020-08-26 00:00:00,2020-09-04 00:00:00,498,LV,4.3,44.0,42.0
Pennsylvania,Monmouth*,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_PA_090220/,2020-08-28 00:00:00,2020-08-31 00:00:00,400,RV,4.9,49.0,46.0
Pennsylvania,Quinnipiac,https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3672,2020-08-28 00:00:00,2020-08-31 00:00:00,1107,LV,3.0,52.0,44.0
Pennsylvania,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/pennsylvania_trump_46_biden_46,2020-08-25 00:00:00,2020-08-27 00:00:00,1000,LV,3.0,46.0,46.0
Pennsylvania,CNBC/Change Research (D),https://changeresearch.com/wp-content/uploads/2020/08/CNBC-CR_Battleground-Toplines_Wave-12_August-21-23-Wave-12_-8_21-8_23.pdf,2020-08-21 00:00:00,2020-08-23 00:00:00,984,LV,2.0,49.0,46.0
Pennsylvania,Franklin & Marshall,https://www.fandm.edu/uploads/files/166320825519932897-f-m-poll-release-aug-2020.pdf,2020-08-17 00:00:00,2020-08-23 00:00:00,681,RV,5.2,49.0,42.0
Pennsylvania,Morning Call,https://www.muhlenberg.edu/aug2020election/,2020-08-11 00:00:00,2020-08-17 00:00:00,416,LV,5.5,49.0,45.0
